PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0167K00134000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9447939668166, 40.4947966751042], [-79.9445989543225, 40.4949632241009], [-79.9442690478256, 40.4947418185542], [-79.9444727995787, 40.4945683879346], [-79.9445804472245, 40.4946449046354], [-79.9447939668166, 40.4947966751042]]]]}",91, ,CHERRY ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82702,REGULAR,RESIDENTIAL,FOUR FAMILY,10477.0,12-29-2003,12-29-2003,102000.0,Z,OTHER,11-12-2003,1.0,,,75000.0,MULTI-FAMILY,2,1896.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,POOR,POOR,12.0,8.0,4.0,0.0,Unit Heat,0.0,0,5249.0,1.0,,2019.0
0221M00136000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9522582636274, 40.504357037667], [-79.9522461399309, 40.5040823434608], [-79.9523355589163, 40.5040804577813], [-79.9523481317745, 40.5043551434331], [-79.9522582636274, 40.504357037667]]]]}",70, ,WILSON ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82701,REGULAR,RESIDENTIAL,SINGLE FAMILY,2500.0,09-19-2003,09-19-2003,0.0,3,LOVE&AFFECTION,10-13-1999,10000.0,05-27-1999,1.0,35700.0,OLD STYLE,2,1898.0,Frame,SHINGLE,Full,C-,AVERAGE -,POOR,POOR,5.0,2.0,1.0,0.0,Central Heat,0.0,0,1448.0,1.0,,2019.0
0119D00140000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9540124433759, 40.4912249434324], [-79.9531766000909, 40.4904278018886], [-79.9531427766029, 40.4903962561832], [-79.953567247235, 40.4900693799528], [-79.9544107979333, 40.4910075455966], [-79.9544221654091, 40.4910249871418], [-79.9543486439337, 40.4910608679942], [-79.9542084653809, 40.491129279394], [-79.9540630564771, 40.4912017541515], [-79.9540124433759, 40.4912249434324]]]]}",0, ,ANN ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82702,CORPORATION,RESIDENTIAL,VACANT LAND,60910.0,12-15-2003,12-15-2003,1.0,3,LOVE&AFFECTION,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,2019.0
0221S00124000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9521989718922, 40.5028452208113], [-79.9521704185553, 40.5024254704065], [-79.9525762255749, 40.5026252362419], [-79.952867672664, 40.5026964771622], [-79.9530027428618, 40.5027294400512], [-79.9535405856444, 40.5029517204315], [-79.9522084701455, 40.5029845497339], [-79.9521989718922, 40.5028452208113]]]]}",0, ,SPRING ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82701,REGULAR,RESIDENTIAL,RES AUX BUILDING (NO HOUSE),43559.0,05-07-2003,05-07-2003,12000.0,9,OTHER INVALID,01-02-2003,12000.0,03-06-2002,1.0,27000.0,,,,,,,,,,,,,,,,,,,,,2019.0
0221M00227000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9526525401645, 40.5047814704443], [-79.9528362892301, 40.5047765982931], [-79.9528788332821, 40.5054444862111], [-79.9528788184555, 40.5054444869469], [-79.9528788024416, 40.5054444877053], [-79.9528316475274, 40.5054462544864], [-79.9526978169851, 40.5054513662638], [-79.9526525401645, 40.5047814704443]]]]}",62, ,VILSACK ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82701,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,12137.0,,09-23-1999,46500.0,U,OTHER VALID,05-05-1950,0.0,,,47200.0,OLD STYLE,2,1892.0,Frame,SHINGLE,Full,C-,AVERAGE -,FAIR,FAIR,5.0,3.0,1.0,0.0,Central Heat,0.0,0,1446.0,1.0,,2019.0
0222P00051000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9451790783408, 40.5027729750821], [-79.944803372319, 40.5029307811659], [-79.944759163994, 40.5028444406531], [-79.9450963706573, 40.5026762215383], [-79.9451790783408, 40.5027729750821]]]]}",14, -16,KITTANNING ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82701,REGULAR,RESIDENTIAL,FOUR FAMILY,4470.0,05-19-2004,05-19-2004,17000.0,0,VALID SALE,02-20-1979,25000.0,,,75000.0,MULTI-FAMILY,2,1910.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,POOR,POOR,13.0,6.0,4.0,0.0,Electric,0.0,0,4179.0,1.0,,2019.0
0167F00208000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9439357531935, 40.4984040591441], [-79.9439390310005, 40.4983586504677], [-79.9439405914922, 40.4983370863915], [-79.9443030303204, 40.4983527695015], [-79.9442994455697, 40.498416711384], [-79.9440791902685, 40.4984090486916], [-79.9439357531935, 40.4984040591441]]]]}",415, ,BUTLER ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,RIVER/INDUSTRIAL/MILL,REGULAR,COMMERCIAL,OFFICE - 1-2 STORIES,2500.0,10-20-2014,10-14-2014,26000.0,13,EXEMPT,09-30-2003,30000.0,02-02-2001,115000.0,81000.0,,,,,,,,,,,,,,,,,,,,,2019.0
0221S00031000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9516558034904, 40.5036847977719], [-79.951644108751, 40.503423137661], [-79.951817979512, 40.5034187983239], [-79.9518279086009, 40.5036814301764], [-79.9516558034904, 40.5036847977719]]]]}",54, -56,DEWEY ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82701,REGULAR,RESIDENTIAL,FOUR FAMILY,4510.0,11-06-2012,11-06-2012,142755.0,0,VALID SALE,10-03-2001,100000.0,09-25-1995,0.0,129400.0,MULTI-FAMILY,2,1951.0,Concrete Block,SHINGLE,Full,C-,AVERAGE -,AVERAGE,AVERAGE,12.0,4.0,4.0,0.0,Central Heat,0.0,0,3880.0,1.0,,2019.0
0221S00163000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9495037784088, 40.5027749090192], [-79.9496920997804, 40.5027725402408], [-79.9497064082513, 40.5030456142073], [-79.9495230862051, 40.5030496499355], [-79.9495037784088, 40.5027749090192]]]]}",16, ,SPRING ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82701,REGULAR-ETAL,RESIDENTIAL,RES AUX BUILDING (NO HOUSE),5000.0,01-27-2017,01-20-2017,1.0,3,LOVE&AFFECTION,02-24-1993,21000.0,,,7600.0,,,,,,,,,,,,,,,,,,,,,2019.0
0166S00156000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9508748510004, 40.4932501871705], [-79.95124743768, 40.4931779062017], [-79.951390568934, 40.4933619432675], [-79.9509998212752, 40.4934425796172], [-79.9508489396163, 40.4932552113523], [-79.9508748510004, 40.4932501871705]]]]}",77, ,WASHINGTON ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82702,REGULAR,RESIDENTIAL,SINGLE FAMILY,8625.0,08-16-2013,08-16-2013,14040.0,Z,OTHER,02-16-1988,25000.0,,,48600.0,OLD STYLE,2,1897.0,Frame,SHINGLE,Part,D+,BELOW AVERAGE +,POOR,POOR,6.0,3.0,1.0,1.0,Central Heat,0.0,0,1738.0,1.0,,2019.0
0222N00305000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9486903042558, 40.5036549791454], [-79.9490620325867, 40.5036462046072], [-79.9490659516402, 40.5037274379345], [-79.9487694643449, 40.5037356988282], [-79.9487513265278, 40.5037202728328], [-79.9487193754733, 40.5036889717103], [-79.9486903042558, 40.5036549791454]]]]}",17, ,GRANT AVE,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,RIVER/INDUSTRIAL/MILL,CORPORATION,COMMERCIAL,"RESTAURANT, CAFET AND/OR BAR",3116.0,02-22-2019,02-21-2019,1.0,H,MULTI-PARCEL SA,07-22-1988,90000.0,,,115500.0,,,,,,,,,,,,,,,,,,,,,2019.0
0167A00240000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9474137951021, 40.4994996806064], [-79.947775151664, 40.4994863357665], [-79.9477827709008, 40.4996242211382], [-79.9477866327632, 40.4996940916702], [-79.9477178452176, 40.4996954259445], [-79.9476409300236, 40.499696915515], [-79.9474166857068, 40.4995597398072], [-79.9474137951021, 40.4994996806064]]]]}",51, ,OAKLAND ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82702,REGULAR,RESIDENTIAL,SINGLE FAMILY,4820.0,,08-14-1990,25000.0,0,VALID SALE,,,,,54400.0,OLD STYLE,1,1920.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,6.0,2.0,1.0,1.0,Central Heat with AC,0.0,0,624.0,1.0,,2019.0
0222A00085000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9483928217465, 40.5095189049117], [-79.9480864068269, 40.5095134011712], [-79.9478037689664, 40.5088443312242], [-79.9477760453699, 40.5086560835716], [-79.9478968163361, 40.5086501733576], [-79.948597204233, 40.5086161100404], [-79.9486181819462, 40.5086664172721], [-79.9486771906431, 40.5095240487911], [-79.9483928217465, 40.5095189049117]]]]}",0, ,ELIZABETH ST,PITTSBURGH,PA, ,15223,Shaler  ,Shaler Area,81201,REGULAR,RESIDENTIAL,VACANT LAND,60548.0,06-19-2008,06-19-2008,20000.0,H,MULTI-PARCEL SA,12-14-2006,1.0,04-10-1975,0.0,40100.0,,,,,,,,,,,,,,,,,,,,,2019.0
0221S00025000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9511674265237, 40.5034351159079], [-79.9512977183077, 40.5034318814292], [-79.9513097961018, 40.5036915432713], [-79.9511785809942, 40.5036940403727], [-79.9511674265237, 40.5034351159079]]]]}",44, ,DEWEY ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82701,REGULAR,RESIDENTIAL,SINGLE FAMILY,3510.0,,08-28-1963,0.0,N,NOT APPLICABLE,,,,,55300.0,OLD STYLE,2,1925.0,Frame,SHINGLE,Full,C-,AVERAGE -,FAIR,FAIR,6.0,3.0,1.0,1.0,Central Heat,0.0,0,1472.0,1.0,,2019.0
0167K00283000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9418896303007, 40.495729887085], [-79.9419183769058, 40.4957189629447], [-79.9420019042593, 40.4956872167507], [-79.9421621203356, 40.4959334985361], [-79.9420501903664, 40.4959767111417], [-79.9418896303007, 40.495729887085]]]]}",25, ,SYCAMORE ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82702,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,3600.0,,02-20-1976,1.0,3,LOVE&AFFECTION,,,,,63900.0,CAPE COD,1,1955.0,Brick,SHINGLE,Full,C-,AVERAGE -,FAIR,FAIR,7.0,2.0,1.0,0.0,Central Heat with AC,0.0,0,1177.0,1.0,,2019.0
0167J00038000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9459175571983, 40.4961853795544], [-79.9461763820664, 40.4961792376229], [-79.9462353585148, 40.4961778393069], [-79.9462368966502, 40.4962084942529], [-79.9462382617039, 40.4962357876211], [-79.9458502365098, 40.4962450311623], [-79.9459175571983, 40.4961853795544]]]]}",40, ,PROSPECT ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,RIVER/INDUSTRIAL/MILL,CORPORATION,COMMERCIAL,COMM AUX BUILDING,1480.0,,05-25-1976,8600.0,0,VALID SALE,,,,,3200.0,,,,,,,,,,,,,,,,,,,,,2019.0
0167E00109000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9476847146863, 40.498038745821], [-79.9476834210699, 40.4980387649605], [-79.9475809559914, 40.4980402126755], [-79.9475805475403, 40.4980402186226], [-79.9475657764368, 40.4979880103851], [-79.9477695681187, 40.4979670906714], [-79.9479220803294, 40.4979514222526], [-79.9479220829698, 40.497951430364], [-79.9479332215602, 40.4980147457639], [-79.9479332230133, 40.498014753898], [-79.947774304226, 40.4980388934305], [-79.9476847146863, 40.498038745821]]]]}",78, ,HIGH ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82702,REGULAR,RESIDENTIAL,SINGLE FAMILY,2176.0,,04-13-1993,30000.0,0,VALID SALE,,,,,38000.0,OLD STYLE,2,1925.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,5.0,3.0,1.0,1.0,Central Heat,,0,1766.0,1.0,,2019.0
0166R00145000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9536292387397, 40.4923098064721], [-79.9537637527525, 40.4922439060398], [-79.9539657112871, 40.4924944810775], [-79.9538221144208, 40.4925576256881], [-79.9536292387397, 40.4923098064721]]]]}",147, ,WASHINGTON ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82702,REGULAR,RESIDENTIAL,SINGLE FAMILY,5041.0,10-19-2018,10-02-2018,28696.0,14,TIME ON MARKET,03-25-1987,1.0,,,25100.0,OLD STYLE,1,1925.0,Frame,SHINGLE,Full,C-,AVERAGE -,AVERAGE,AVERAGE,7.0,3.0,1.0,1.0,Central Heat,0.0,0,1164.0,1.0,,2019.0
0166R00015000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9538920345335, 40.4938436510236], [-79.9539644801289, 40.4938593401248], [-79.953790990063, 40.494424602184], [-79.953721201887, 40.4943664620304], [-79.9536485444402, 40.4943030677988], [-79.9538011137107, 40.4938266888562], [-79.9538920345335, 40.4938436510236]]]]}",118, ,PARKER ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82702,REGULAR,RESIDENTIAL,SINGLE FAMILY,12550.0,08-01-2007,07-30-2007,73000.0,AA,SALE NOT ANALYZ,07-10-2003,67000.0,04-04-1994,50000.0,71000.0,OLD STYLE,2,1887.0,Frame,SHINGLE,Part,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,0,1680.0,1.0,,2019.0
