PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0009S00288000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9858974648329, 40.4434129554811], [-79.9862236955786, 40.4432753556277], [-79.9862651968501, 40.4433241591437], [-79.9859372170581, 40.4434657911059], [-79.9858974648329, 40.4434129554811]]]]}",605, ,PROTECTORY PL,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,REGULAR-ETAL,RESIDENTIAL,TOWNHOUSE,2247.0,09-17-2014,09-17-2014,164500.0,34,SHORT SALE,08-25-2006,170000.0,09-26-1996,93900.0,138200.0,TOWNHOUSE,2,1996.0,Brick,SHINGLE,Full,C+,AVERAGE +,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat with AC,0.0,1,1360.0,1.0,,2019.0
0009M00073000B00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9848972631791, 40.4475773682307], [-79.9848538205579, 40.4476038174504], [-79.9846645475253, 40.4472889409493], [-79.9847123195, 40.4472690949817], [-79.9848972631791, 40.4475773682307]]]]}",1835, ,ARCENA ST,PITTSBURGH,PA, ,15219,2nd Ward - PITTSBURGH,Pittsburgh,THE STRIP DISTRICT,REGULAR,RESIDENTIAL,VACANT LAND,1875.0,,04-01-1955,0.0,N,NOT APPLICABLE,,,,,600.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010N00098000B00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9821085995313, 40.4451863032597], [-79.9821543237499, 40.4451665604529], [-79.9823096628474, 40.4453769371631], [-79.9822610615064, 40.4453980111109], [-79.9821085995313, 40.4451863032597]]]]}",1926, ,WEBSTER AVE,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,1339.0,07-08-2004,07-08-2004,1.0,3,LOVE&AFFECTION,06-10-1998,1.0,11-16-1984,17000.0,58400.0,OLD STYLE,3,1901.0,Brick,ROLL,Full,D,BELOW AVERAGE,FAIR,FAIR,10.0,5.0,2.0,0.0,Central Heat,0.0,0,1764.0,1.0,,2019.0
0011E00235000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9798501731299, 40.4391509491283], [-79.9798559793665, 40.4390864925887], [-79.9800130872847, 40.4390928441642], [-79.9800101290158, 40.4391410672419], [-79.9800091925285, 40.4391561647035], [-79.9798501731299, 40.4391509491283]]]]}",0, ,WICK ST,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,12540.0,,09-15-1980,0.0,3,LOVE&AFFECTION,,,,,45800.0,,,,,,,,,,,,,,,,,,,,,2019.0
0009M00176000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.983278596246, 40.4466691529742], [-79.9834622622139, 40.4465910829681], [-79.9835572659262, 40.4467216637763], [-79.9834967001944, 40.4467476263331], [-79.983434946871, 40.4467727263657], [-79.983373898948, 40.4467973708616], [-79.9833606271704, 40.4467807394343], [-79.9833048595097, 40.4467051025271], [-79.983278596246, 40.4466691529742]]]]}",0, ,MONACA PL,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,CORPORATION,GOVERNMENT,MUNICIPAL URBAN RENEWAL,3168.0,,02-24-1984,0.0,3,LOVE&AFFECTION,,,,,1300.0,,,,,,,,,,,,,,,,,,,,,2019.0
0002H00137000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9835517032767, 40.4391068011792], [-79.9835682818545, 40.4388522606308], [-79.9836444314264, 40.4388555701762], [-79.9838715208079, 40.4388653434167], [-79.9838690232396, 40.4388903337516], [-79.983858040036, 40.4389999706177], [-79.9838460939356, 40.4391195095981], [-79.9836153139671, 40.4391095310333], [-79.9835517032767, 40.4391068011792]]]]}",1600, ,COLWELL ST,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,GOVERNMENT,HUD PROJ #202,7200.0,,02-29-1996,10.0,3,LOVE&AFFECTION,,,,,140000.0,,,,,,,,,,,,,,,,,,,,,2019.0
0011E00180000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9790437763559, 40.4395129674756], [-79.979050186042, 40.4393824613013], [-79.9791205082388, 40.439385268666], [-79.9791048911887, 40.4395153584605], [-79.9790437763559, 40.4395129674756]]]]}",0, ,DIAZ WAY,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,REGULAR,RESIDENTIAL,VACANT LAND,864.0,12-22-2010,12-22-2010,200.0,9,OTHER INVALID,02-07-1949,0.0,,,400.0,,,,,,,,,,,,,,,,,,,,,2019.0
0009M00098000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9864923407344, 40.4462281201503], [-79.9864567983072, 40.446179921441], [-79.9865227968367, 40.446152466127], [-79.9866193551164, 40.446285122234], [-79.9865546128767, 40.4463125750532], [-79.9864923407344, 40.4462281201503]]]]}",0, ,RIDGEWAY ST,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,1120.0,,12-29-1949,0.0,3,LOVE&AFFECTION,,,,,500.0,,,,,,,,,,,,,,,,,,,,,2019.0
0011E00152000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9785544470018, 40.4400833370995], [-79.9789052776274, 40.4399858867616], [-79.9789366307762, 40.440046516381], [-79.9785991082586, 40.4401443476815], [-79.9785544470018, 40.4400833370995]]]]}",234, ,LOMBARD ST,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,REGULAR,RESIDENTIAL,SINGLE FAMILY,2472.0,,07-14-2000,15000.0,9,OTHER INVALID,07-18-1969,0.0,,,86100.0,OLD STYLE,2,1895.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,2.0,1.0,1.0,Central Heat with AC,0.0,0,1293.0,1.0,,2019.0
0009S00423000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9848008902764, 40.4431243661198], [-79.9850410246757, 40.4430202132456], [-79.9851065112512, 40.443111936928], [-79.9850927074135, 40.4431186358691], [-79.9848695575555, 40.4432178231124], [-79.9848008902764, 40.4431243661198]]]]}",537, ,ARTHUR ST,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,3006.0,05-22-2017,05-10-2017,184750.0,14,TIME ON MARKET,01-14-1994,136447.0,,,153800.0,COLONIAL,2,1995.0,Masonry FRAME,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat with AC,0.0,1,1504.0,1.0,,2019.0
