PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0049J00191000C00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9632373252332, 40.4652614178233], [-79.9633535632866, 40.4651754679604], [-79.9633837122613, 40.4651995554599], [-79.9632623704224, 40.4652815090535], [-79.9632373252332, 40.4652614178233]]]]}",243, ,37TH ST,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR-ETUX OR ET VIR,RESIDENTIAL,TOWNHOUSE,588.0,04-19-2019,04-08-2019,260000.0,H,MULTI-PARCEL SA,08-28-2014,191000.0,10-11-2013,55000.0,163100.0,ROW INTERIOR,2,1900.0,Brick,SHINGLE,Full,C+,AVERAGE +,GOOD,VERY GOOD,3.0,1.0,2.0,,Central Heat with AC,0.0,0,792.0,1.0,,2019.0
0049J00250000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.962499138153, 40.4653422251065], [-79.962755998256, 40.4651573889267], [-79.9628075504177, 40.4651982745315], [-79.9625495933768, 40.4653833880065], [-79.962499138153, 40.4653422251065]]]]}",260, ,38TH ST,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR,RESIDENTIAL,TWO FAMILY,2100.0,08-21-2007,08-21-2007,10000.0,AA,SALE NOT ANALYZ,07-02-2003,75000.0,08-18-1993,26000.0,79300.0,MULTI-FAMILY,2,1890.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,5.0,2.0,1.0,0.0,Central Heat,0.0,0,1556.0,1.0,,2019.0
0049P00255000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.959854567886, 40.4632329887048], [-79.960007732353, 40.4632077301287], [-79.9600374585156, 40.4633151565174], [-79.9598737550229, 40.4633421530455], [-79.9598588919782, 40.4632884397764], [-79.9598694309114, 40.4632867018617], [-79.959854567886, 40.4632329887048]]]]}",3825, ,HOWLEY ST,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,1840.0,12-07-2018,12-03-2018,395000.0,0,VALID SALE,12-09-2015,360000.0,,,324300.0,COLONIAL,2,1900.0,Frame,SHINGLE,Full,B+,GOOD +,VERY POOR,GOOD,5.0,3.0,2.0,1.0,Central Heat with AC,,,1280.0,1.0,,2019.0
0049E00114000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9653383397975, 40.4684656892062], [-79.9652137682801, 40.4683665039872], [-79.9652501356633, 40.4683371590007], [-79.9653739074787, 40.4684366338304], [-79.9653383397975, 40.4684656892062]]]]}",3813, ,FOSTER ST,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,10601,CORPORATION,RESIDENTIAL,ROWHOUSE,750.0,12-13-2018,12-07-2018,120000.0,36,QUIT CLAIM / SPEC WARRNTY,09-15-1995,16000.0,,,44000.0,ROW INTERIOR,2,1900.0,Brick,METAL,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,5.0,2.0,0.0,1.0,Central Heat,0.0,0,960.0,1.0,,2019.0
0049P00154000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9615433067328, 40.4638981340299], [-79.9616662324802, 40.463875979868], [-79.9616770929047, 40.4639129782271], [-79.9615540603247, 40.4639362801455], [-79.9615433067328, 40.4638981340299]]]]}",306, ,38TH ST,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,10601,CORPORATION,RESIDENTIAL,ROWHOUSE,490.0,06-25-2012,06-25-2012,55000.0,DT,DATE OF TRANSFER,07-23-2007,38700.0,05-05-1950,0.0,34600.0,ROW INTERIOR,3,1890.0,Frame,ROLL,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1128.0,1.0,,2019.0
0026A00006000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9659543367107, 40.4622012875004], [-79.9660241736076, 40.4621549879623], [-79.9661057541198, 40.4622207166482], [-79.9660871454849, 40.4622361766947], [-79.9661362821957, 40.4622717775223], [-79.9661819157754, 40.4623048836111], [-79.9661362788625, 40.4623336753189], [-79.9661162009032, 40.4623463708627], [-79.9659543367107, 40.4622012875004]]]]}",0, ,LIGONIER ST,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,COMMERCIAL,"CHURCHES, PUBLIC WORSHIP",1400.0,10-01-2002,10-01-2002,800.0,9,OTHER INVALID,10-28-1996,2795.0,,,25700.0,,,,,,,,,,,,,,,,,,,,,2019.0
0049N00079000B00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9632905991042, 40.464670108903], [-79.9632325054491, 40.4646800539553], [-79.9631927437175, 40.4645703402926], [-79.9632561046254, 40.4645574563981], [-79.9632905991042, 40.464670108903]]]]}",3618, ,SARDIS WAY,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,10601,CORPORATION,RESIDENTIAL,ROWHOUSE,560.0,12-11-2018,11-20-2018,1.0,3,LOVE&AFFECTION,02-02-2011,2000.0,04-30-2009,7255.0,37800.0,ROW END,2,1905.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,0.0,0,784.0,1.0,,2019.0
0049N00325000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9624148429508, 40.463148214949], [-79.9624742618679, 40.463143072581], [-79.9625194473713, 40.4634117579736], [-79.9624597372543, 40.4634170428691], [-79.9624148429508, 40.463148214949]]]]}",3646, ,MINTWOOD ST,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR,RESIDENTIAL,ROWHOUSE,1900.0,06-05-2018,06-01-2018,440000.0,36,QUIT CLAIM / SPEC WARRNTY,11-21-2005,30000.0,01-19-1981,0.0,230200.0,ROW INTERIOR,2,1890.0,Brick,ROLL,Full,A,VERY GOOD,GOOD,VERY GOOD,6.0,2.0,2.0,1.0,Central Heat with AC,0.0,0,1560.0,1.0,,2019.0
0049N00260000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9621467338, 40.4641914920514], [-79.9621239317168, 40.464117037735], [-79.962129264627, 40.4641161154303], [-79.9623238006031, 40.4640824698931], [-79.962345406415, 40.4641593053549], [-79.9622713126194, 40.4641728516646], [-79.9622065720437, 40.4641846623132], [-79.9621999278493, 40.4641858780318], [-79.96215838375, 40.4641934786759], [-79.9621479272811, 40.4641953895628], [-79.9621467338, 40.4641914920514]]]]}",305, ,37TH ST,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR,RESIDENTIAL,TWO FAMILY,2088.0,02-06-2008,02-06-2008,120000.0,AA,SALE NOT ANALYZ,12-06-1978,11000.0,,,66400.0,MULTI-FAMILY,3,1900.0,Brick,ROLL,Full,D+,BELOW AVERAGE +,FAIR,FAIR,16.0,6.0,4.0,0.0,Central Heat,0.0,0,3872.0,1.0,,2019.0
0049N00128000A00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9654008707714, 40.4634052885381], [-79.9654109160932, 40.4633983680308], [-79.9654668416461, 40.4633598397404], [-79.965494967577, 40.4633404738365], [-79.9657306609908, 40.4635379553555], [-79.9657109812685, 40.463551582238], [-79.9656475641212, 40.4635954718517], [-79.9656373925567, 40.4636025072494], [-79.9654008707714, 40.4634052885381]]]]}",3440, ,PENN AVE,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR,RESIDENTIAL,TOWNHOUSE,3500.0,,08-25-1992,77800.0,5,OTHER,,,,,143700.0,TOWNHOUSE,2,1993.0,Masonry FRAME,SHINGLE,Full,B,GOOD,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,0,1280.0,1.0,,2019.0
