PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0010R00075000C00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9728912445733, 40.4446566475895], [-79.9729457495506, 40.4446346628517], [-79.9730223889626, 40.4447463626248], [-79.9729776534097, 40.4447675895126], [-79.9728912445733, 40.4446566475895]]]]}",2311, ,REED ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,RESIDENTIAL,VACANT LAND,652.0,04-29-2010,04-29-2010,704.0,2,CITY TREASURER,01-04-1995,17500.0,,,1300.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010J00350000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9792085062341, 40.4464664680803], [-79.9793896853355, 40.4463898977962], [-79.979400939954, 40.4464052024923], [-79.9795806985888, 40.4463296655836], [-79.9796986461506, 40.446490150288], [-79.9793384339588, 40.446644336561], [-79.9792085062341, 40.4464664680803]]]]}",2124, -2134,WEBSTER AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,GOVERNMENT,OWNED BY METRO HOUSING AU,8196.0,,,,,,,,,,601600.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010M00088000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9680618173057, 40.4478667939841], [-79.9683745905526, 40.4477582223134], [-79.9683752910886, 40.447759292568], [-79.9684057019717, 40.4478057813656], [-79.9680899557616, 40.4479145566328], [-79.9680618173057, 40.4478667939841]]]]}",523, ,FRANCIS ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,RESIDENTIAL,TWO FAMILY,2300.0,06-01-2017,05-18-2017,36000.0,14,TIME ON MARKET,02-01-2016,1.0,11-12-2004,10000.0,20000.0,MULTI-FAMILY,2,1920.0,Brick,ROLL,Full,D+,BELOW AVERAGE +,FAIR,FAIR,8.0,2.0,2.0,1.0,Central Heat,0.0,0,2090.0,1.0,,2019.0
0010P00191000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9769313780101, 40.4439554379737], [-79.9771178861502, 40.4441979671749], [-79.9770550374018, 40.4442247596742], [-79.9768749666491, 40.4439795231234], [-79.9769313780101, 40.4439554379737]]]]}",2127, ,ROSE ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,COMMERCIAL,VACANT COMMERCIAL LAND,2448.0,07-10-2012,07-10-2012,75000.0,AA,SALE NOT ANALYZ,09-28-2004,1.0,03-09-1981,5000.0,11800.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010F00104000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9748658617835, 40.4496134220032], [-79.9747810307857, 40.4496496088095], [-79.9746492683881, 40.4494606439623], [-79.9745796273666, 40.4493607071973], [-79.9746614848951, 40.4493261344006], [-79.9748658617835, 40.4496134220032]]]]}",2354, ,BEDFORD AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,RESIDENTIAL,VACANT LAND,3000.0,10-27-2017,10-27-2017,23687.0,GV,GOVT SALE,12-07-1979,750.0,,,16000.0,,,,,,,,,,,,,,,,,,,,,2019.0
0027E00055000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9655016171306, 40.4498360986205], [-79.9657220259182, 40.4497427482764], [-79.9657469069415, 40.4497962268363], [-79.9655210172604, 40.4498786988331], [-79.9655016171306, 40.4498360986205]]]]}",541, ,HERRON AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,GOVERNMENT,MUNICIPAL URBAN RENEWAL,1330.0,,10-01-1971,0.0,3,LOVE&AFFECTION,,,,,500.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010N00258000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9804823135457, 40.4441650142771], [-79.9804351906115, 40.4441039607516], [-79.9804747779836, 40.4440874748024], [-79.9805798988422, 40.4442276824451], [-79.9805875073435, 40.4442373542342], [-79.9805492132723, 40.4442536470343], [-79.9805428015818, 40.4442434107435], [-79.9804823135457, 40.4441650142771]]]]}",0, ,WYLIE AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,COMMERCIAL,PARKING GARAGE/LOTS,819.0,,06-30-1983,0.0,3,LOVE&AFFECTION,,,,,2100.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010H00217000200,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9678894604567, 40.4500580447551], [-79.9677469978907, 40.4498802843354], [-79.9678733962825, 40.4498246110397], [-79.9680211160722, 40.4500411244872], [-79.9680647691224, 40.4501031735598], [-79.9679586742633, 40.4501444246309], [-79.9679132903574, 40.4500877678392], [-79.9678894604567, 40.4500580447551]]]]}",2803, -2805,WYLIE AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,THREE FAMILY,4871.0,,02-02-1979,0.0,9,OTHER INVALID,,,,,70000.0,MULTI-FAMILY,2,1920.0,Brick,SHINGLE,Part,C,AVERAGE,FAIR,FAIR,10.0,6.0,3.0,0.0,Central Heat,0.0,0,4375.0,1.0,,2019.0
0010J00314000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.978993458577, 40.4475765512445], [-79.9793427022899, 40.4474269079349], [-79.9793634115497, 40.447450571798], [-79.9791214583417, 40.4475819471429], [-79.9790330405036, 40.4476298749992], [-79.978993458577, 40.4475765512445]]]]}",0, ,PERRY ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10502,CORPORATION,RESIDENTIAL,VACANT LAND,1476.0,11-27-2012,11-27-2012,3318.0,2,CITY TREASURER,10-20-1972,0.0,,,4400.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010G00248000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9737907964155, 40.4480607537993], [-79.9741958884595, 40.4479498347001], [-79.9742225084887, 40.4480026591662], [-79.973821404877, 40.4481179234776], [-79.9737907964155, 40.4480607537993]]]]}",623, ,CHAUNCEY ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,1400.0,,06-05-1968,0.0,3,LOVE&AFFECTION,,,,,500.0,,,,,,,,,,,,,,,,,,,,,2019.0
0027E00046000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9652284493121, 40.4492360126408], [-79.9655465823209, 40.4491196223813], [-79.9656163679607, 40.4492307245758], [-79.9652838086977, 40.4493575973594], [-79.9652284493121, 40.4492360126408]]]]}",519, ,HERRON AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,RESIDENTIAL,SINGLE FAMILY,1677.0,12-03-2018,11-29-2018,1000.0,36,QUIT CLAIM / SPEC WARRNTY,09-29-2006,1.0,07-26-2006,1.0,47600.0,OLD STYLE,3,1925.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,POOR,POOR,6.0,2.0,2.0,0.0,Central Heat,0.0,0,3648.0,1.0,,2019.0
0010L00003000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9722774683984, 40.445366564207], [-79.9724593636617, 40.4452886068791], [-79.9725803661478, 40.4454558607457], [-79.9727041607817, 40.4456269961292], [-79.9726414392877, 40.445654103385], [-79.9725945295122, 40.4456703379188], [-79.9725477833125, 40.44567775774], [-79.9724988573609, 40.4456835263456], [-79.9724571140566, 40.4456893150503], [-79.9724346031962, 40.4456906888216], [-79.9723762531662, 40.4454931709023], [-79.9722774683984, 40.445366564207]]]]}",2350, ,CENTRE AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,COMMERCIAL,AUTO SERV STATION,8761.0,05-23-2006,05-23-2006,10.0,H,MULTI-PARCEL SA,05-05-1950,0.0,,,185500.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010P00192000A00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9766344373529, 40.4441999822613], [-79.9766820174156, 40.444177898357], [-79.9766554769248, 40.4441360550249], [-79.9767484270126, 40.4440956166225], [-79.9767996485936, 40.4441657261083], [-79.9766556748942, 40.4442281756093], [-79.9766344373529, 40.4441999822613]]]]}",22, ,ELMORE ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,VACANT LAND,880.0,,10-31-1985,750.0,9,OTHER INVALID,,,,,1800.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010F00140000A00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9764228443837, 40.4485204463124], [-79.9764800110476, 40.4484947231861], [-79.9766168273309, 40.4486723313051], [-79.9765615008485, 40.4486957990392], [-79.9764228443837, 40.4485204463124]]]]}",0, ,BLOOMER WAY,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,RESIDENTIAL,VACANT LAND,1470.0,,08-26-1998,3500.0,H,MULTI-PARCEL SA,09-18-1989,5099.0,,,2900.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010N00287000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9790337952182, 40.4443741694597], [-79.9791167310875, 40.4443397008402], [-79.9791934195136, 40.4444427569644], [-79.9792038842125, 40.4444579926896], [-79.9792607557543, 40.444540834736], [-79.9792698804899, 40.4445521949648], [-79.9791877038142, 40.4445865828439], [-79.979179562065, 40.4445753528272], [-79.9790337952182, 40.4443741694597]]]]}",0, ,CENTRE AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,GOVERNMENT,MUNICIPAL URBAN RENEWAL,1973.0,07-12-2002,07-12-2002,1.0,9,OTHER INVALID,09-19-1988,6255.0,,,700.0,,,,,,,,,,,,,,,,,,,,,2019.0
