PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0046L00026000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0034588058978, 40.4665735822029], [-80.0036229684582, 40.4663354263212], [-80.0038433953094, 40.4664226787932], [-80.0036797035652, 40.4666614225365], [-80.0034588058978, 40.4665735822029]]]]}",0, ,HAZELTON ST,PITTSBURGH,PA, ,15214,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,7500.0,,07-28-1943,0.0,3,LOVE&AFFECTION,,,,,18200.0,,,,,,,,,,,,,,,,,,,,,2019.0
0046P00373000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0076624159562, 40.463965514186], [-80.0076409650159, 40.4639019996559], [-80.0081064649632, 40.4638194532243], [-80.008128403707, 40.4638841729015], [-80.0076624159562, 40.463965514186]]]]}",18, ,OLIVE ST,PITTSBURGH,PA, ,15214,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,3240.0,,08-06-1999,500.0,9,OTHER INVALID,02-22-1999,1.0,10-24-1974,1.0,31700.0,OLD STYLE,2,1850.0,Frame,SHINGLE,Full,D,BELOW AVERAGE,POOR,POOR,6.0,3.0,1.0,0.0,None,0.0,0,1188.0,1.0,,2019.0
0046S00318000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0013005780188, 40.4631894646225], [-80.0012954465128, 40.4631300018548], [-80.0016081192179, 40.4631405689406], [-80.0016090522617, 40.4631685140763], [-80.0016104446521, 40.4631966325454], [-80.0013005780188, 40.4631894646225]]]]}",0, ,SPRAIN ST,PITTSBURGH,PA, ,15212,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,CORPORATION,RESIDENTIAL,VACANT LAND,1680.0,04-26-2013,04-26-2013,769.0,2,CITY TREASURER,10-29-1982,150.0,,,5000.0,,,,,,,,,,,,,,,,,,,,,2019.0
0023D00145000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0021480918804, 40.4609118451149], [-80.0021474967227, 40.4609238165073], [-80.0021418248774, 40.4610499873317], [-80.0017270825484, 40.4610373134197], [-80.0017337207882, 40.4609130912587], [-80.0017342040335, 40.460903046427], [-80.0021480918804, 40.4609118451149]]]]}",221, ,HENDERSON ST,PITTSBURGH,PA, ,15212,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,5700.0,,11-03-1983,36500.0,U,OTHER VALID,,,,,73500.0,OLD STYLE,2,1914.0,Brick,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Wall Furnace,0.0,0,1542.0,1.0,,2019.0
0046L00045000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0049923502328, 40.4671834681155], [-80.0051532309025, 40.4669415062296], [-80.0052570763451, 40.4669826600886], [-80.0051021185345, 40.4672271383199], [-80.0049923502328, 40.4671834681155]]]]}",2257, ,PEEKSKILL ST,PITTSBURGH,PA, ,15214,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,REGULAR,RESIDENTIAL,SINGLE FAMILY,2500.0,03-15-2016,02-25-2016,47000.0,H,MULTI-PARCEL SA,03-31-2015,1.0,04-08-2004,45000.0,28600.0,OLD STYLE,2,1910.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,5.0,2.0,1.0,0.0,Central Heat,0.0,0,828.0,1.0,,2019.0
0046M00009000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0027494243301, 40.4649930838189], [-80.0027255813299, 40.4649251528377], [-80.0030767555386, 40.4648637348715], [-80.0030958083589, 40.4649229022117], [-80.0027494243301, 40.4649930838189]]]]}",0, ,FERGUSON ST,PITTSBURGH,PA, ,15212,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,2500.0,,05-05-1950,0.0,3,LOVE&AFFECTION,,,,,900.0,,,,,,,,,,,,,,,,,,,,,2019.0
0046R00029000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0075995841078, 40.4637800207154], [-80.0078310927249, 40.4637420447269], [-80.0078442977409, 40.46380082545], [-80.0076210199116, 40.4638431918448], [-80.0075995841078, 40.4637800207154]]]]}",2003, ,MOUNTFORD AVE,PITTSBURGH,PA, ,15214,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,1620.0,,11-18-1976,13000.0,0,VALID SALE,,,,,46800.0,OLD STYLE,2.5,1830.0,Frame,SHINGLE,Full,C,AVERAGE,FAIR,FAIR,8.0,5.0,1.0,1.0,Central Heat,0.0,0,1944.0,1.0,,2019.0
0046G00133000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0055907116143, 40.4673425434002], [-80.0058393561423, 40.4673183328129], [-80.0058103545653, 40.4674070187909], [-80.0057893730539, 40.4674434685604], [-80.0057554733925, 40.4674833503318], [-80.0057002308308, 40.4675354999647], [-80.0056387741015, 40.4675782310044], [-80.0055907116143, 40.4673425434002]]]]}",0, ,SUFFOLK ST,PITTSBURGH,PA, ,15214,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,REGULAR,RESIDENTIAL,VACANT LAND,8213.0,04-01-2009,04-01-2009,2000.0,9,OTHER INVALID,11-02-2006,6600.0,02-15-2006,2000.0,18300.0,,,,,,,,,,,,,,,,,,,,,2019.0
0023G00280000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0050889640562, 40.4590100645145], [-80.0051136615543, 40.4589544698783], [-80.0051176768512, 40.4589454339258], [-80.0052556158951, 40.4589833482922], [-80.0052524088363, 40.4589904581572], [-80.0052259961132, 40.4590490073203], [-80.0051034268987, 40.4590141747808], [-80.0050889640562, 40.4590100645145]]]]}",9, ,FOUNTAIN ST,PITTSBURGH,PA, ,15212,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,CORPORATION,RESIDENTIAL,VACANT LAND,1000.0,,03-22-1999,630.0,9,OTHER INVALID,05-05-1950,0.0,,,800.0,,,,,,,,,,,,,,,,,,,,,2019.0
0046S00254000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0019013020778, 40.4643168688737], [-80.0020522528697, 40.4637234707294], [-80.0020662484662, 40.463725351431], [-80.0022342248658, 40.463682170679], [-80.002369036216, 40.4639646120203], [-80.0023922453415, 40.4640135859874], [-80.0024188124472, 40.4640690162703], [-80.0024454024511, 40.4641251307875], [-80.002494227551, 40.4642279973518], [-80.0019238007518, 40.464331187618], [-80.0019013020778, 40.4643168688737]]]]}",0, ,RISING MAIN AVE,PITTSBURGH,PA, ,15212,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,36380.0,,02-22-1983,0.0,3,LOVE&AFFECTION,,,,,32800.0,,,,,,,,,,,,,,,,,,,,,2019.0
